"id","name","name","name","original_release_date","image"
14802,"Custer's Revenge","Mystique","Action","1982-10-13","http://media.giantbomb.com/uploads/1/15562/634750-b_custersrevenge_front_thumb.jpg"
18220,"Beat 'Em & Eat 'Em","Mystique","Action","1982-10-13","http://media.giantbomb.com/uploads/1/15562/634818-b_beatemeatem_front_thumb.jpg"
636,"Lode Runner","Brøderbund Software, Inc.","Action","1983-01-01","http://media.giantbomb.com/uploads/0/26/1156036-loderunner_msx_us_thumb.jpg"
2164,"Mission 3000","Bit Corp","Action","1983-01-01","http://media.giantbomb.com/uploads/1/15562/570034-mission_3000_a_d_cart_2_thumb.jpg"
5301,"Zzoom","Imagine","Action","1983-01-01","http://media.giantbomb.com/uploads/2/25035/1336943-zzoom_sinclair_spectrum_imagine_software_thumb.jpg"
6040,"Chack'n Pop","Taito Corporation","Action","1983-01-01","http://media.giantbomb.com/uploads/0/6518/553698-chak__n_pop_thumb.png"
9253,"Scramble Eggs","Ample Software","Action","1983-01-01","/images/unknown.jpg"
11233,"Robotron: 2084","Vid Kidz","Dual-Joystick Shooter","1983-01-01","http://media.giantbomb.com/uploads/8/87209/1407733-35002101_thumb.jpg"
12642,"Porky's","Dunhill Electronic Media Corp.","Action","1983-01-01","http://media.giantbomb.com/uploads/1/15562/595511-b_porkys_front_thumb.jpg"
14022,"Rocky Super Action Boxing","Coleco Industries, Inc.","Action","1983-01-01","http://media.giantbomb.com/uploads/3/39619/1236057-250px_rocky_super_action_boxing_cover_thumb.jpg"
14039,"Attack On Altair","Windmill Software","Action","1983-01-01","/images/unknown.jpg"
14153,"Juno First","Gottlieb","Shoot 'Em Up","1983-01-01","http://media.giantbomb.com/uploads/0/4527/571997-juno_first__sony_konami__front_thumb.jpg"
15203,"Turtles","Magnavox","Action","1983-01-01","http://media.giantbomb.com/uploads/0/1306/240173-587854_39936_front_thumb.jpg"
16404,"Slither","Coleco Industries, Inc.","Action","1983-01-01","/images/unknown.jpg"
16881,"Super Drinker","Ample Software","Action","1983-01-01","http://media.giantbomb.com/uploads/0/6087/1078794-super_drinker_thumb.png"
18869,"Sea Monster","Bit Corp","Action","1983-01-01","http://media.giantbomb.com/uploads/1/14969/1342789-seebox5_thumb.jpg"
19687,"Jumpman","Epyx, Inc.","Platformer","1983-01-01","http://media.giantbomb.com/uploads/0/3374/227507-jumpman_screen_1__atari_800__thumb.gif"
19726,"Mario Bros.","Nintendo R&D1","Action","1983-01-01","http://media.giantbomb.com/uploads/7/73888/1478800-mario_bros_front_thumb.jpg"
23100,"Major Havoc","Midway Games West","Action","1983-01-01","http://media.giantbomb.com/uploads/0/5150/1415350-major_havoc_title_screen_thumb.png"
6844,"Enduro","Activision","Driving/Racing","1983-02-01","http://media.giantbomb.com/uploads/0/913/317168-b_enduro_front_thumb.jpg"
3134,"Suspended","Infocom","Adventure","1983-02-22","http://media.giantbomb.com/uploads/1/15687/623774-948901_105563_front_1__thumb.jpg"
20408,"Plaque Attack","Activision","Action","1983-02-22","http://media.giantbomb.com/uploads/1/13686/1365987-mdo32lx4_thumb.jpg"
18913,"The Witness","Infocom","Adventure","1983-05-24","http://media.giantbomb.com/uploads/0/1136/1334215-witnessbox_thumb.jpg"
23,"Dragon's Lair","Digital Leisure Inc.","Puzzle","1983-06-01","http://media.giantbomb.com/uploads/0/3413/213636-dragon_s_lair_thumb.jpg"
16983,"Planetfall","Infocom","Adventure","1983-07-08","http://media.giantbomb.com/uploads/0/9407/752452-7011_boxshot_planetfall_thumb.jpg"
17307,"Enchanter","Infocom","Text Adventure","1983-08-10","http://media.giantbomb.com/uploads/1/15687/623602-948674_106915_front_1__thumb.jpg"
6990,"Ultima III: Exodus","Origin Systems","Role-Playing","1983-08-23","http://media.giantbomb.com/uploads/1/15687/608562-ultima3_1__thumb.jpg"
12399,"Infidel","Infocom","Adventure","1983-09-16","http://media.giantbomb.com/uploads/1/15687/623797-948689_105291_front_1__thumb.jpg"
2535,"Yenght","Dinamic Software","Adventure","1984-01-01","/images/unknown.jpg"
8286,"Hold-Up","ERE Informatique","Action","1984-01-01","/images/unknown.jpg"
14469,"Starship: Invasion","TMA","Simulation","1984-01-01","http://media.giantbomb.com/uploads/1/14892/1496498-starship_invasion_1_thumb.png"
15304,"Oh Shit!","Aackosoft International BV","Action","1984-01-01","http://media.giantbomb.com/uploads/0/1010/473978-oh_shit_thumb.png"
23525,"Private Eye","Activision","Adventure","1984-01-01","http://media.giantbomb.com/uploads/1/15562/595585-b_privateeye_front_thumb.jpg"
23717,"Alien","Argonaut Games PLC","Strategy","1984-01-01","http://media.giantbomb.com/uploads/1/15562/634067-1195295010_00_thumb.png"
26158,"Breakdance","Beck-Tech","Music/Rhythm","1984-01-01","http://media.giantbomb.com/uploads/0/6087/965445-226_1_thumb.jpg"
2319,"Sorcerer","Infocom","Text Adventure","1984-01-31","http://media.giantbomb.com/uploads/0/1136/1332739-sorcerer1_thumb.jpg"
6363,"Seastalker","Infocom","Adventure","1984-05-01","http://media.giantbomb.com/uploads/0/7464/1357727-seastalker_box_art_thumb.jpg"
